BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
0.20141,0.7851,1.4934,0.9982,1.4153,1.1004,3.4834,2.9274,0.24759,0.7646,0.74391,0.63683,1.8733,4.0557,1.5101,0.95139,2.1074,3.4974,2.4136,0.73484
0.19334,0.56933,1.6171,0.58735,1.3849,1.2219,1.8897,3.2738,0.099711,0.41824,0.11416,0.79162,1.1517,0.76864,0.62495,1.3924,2.5098,2.6186,1.2325,0.56101
0.10562,0.52817,0.52402,0.21823,0.42224,0.55206,3.7044,3.2012,0.16374,0.33885,0.44911,0.33599,0.42911,0.43419,0.66404,0.92961,1.2509,2.0488,1.1136,0.16984
0.080748,0.18829,1.1228,1.1864,0.44379,0.41902,0.57342,0.76885,0.35512,0.10008,0.18803,0.3481,0.74568,0.93772,0.36268,0.24754,1.6297,2.0551,0.28349,0.67075
0.53875,0.16804,1.1703,0.26693,0.36977,0.29512,3.1354,1.2173,1.2346,0.11196,1.283,0.4034,1.2234,0.92394,0.88663,0.26082,2.2555,4.6866,1.0592,0.039596
3.844,1.0479,5.7281,1.5166,0.86023,3.5664,4.9619,5.9595,9.2091,0.8133,4.1909,0.14379,0.60052,0.96355,2.9257,1.1772,8.0879,5.2214,5.843,0.48029
6.4084,3.5506,5.7598,4.3648,0.72885,6.2721,8.217,5.3385,12.469,8.8463,8.1525,6.1978,8.8917,2.7234,12.891,3.8658,10.018,14.775,13.497,2.9117
10.84,13.761,10.693,2.2772,13.052,6.7716,9.7054,13.4,13.216,13.318,10.349,13.342,11.874,4.2796,12.948,17.727,9.4279,10.672,13.496,6.1744
9.614,8.1263,13.743,8.0935,15.516,6.572,10.17,12.843,18.311,13.187,4.9064,5.3515,12.756,11.59,9.2667,19.478,13.309,14.665,15.19,2.5754
9.7603,9.4172,9.211,6.395,11.2,3.8986,13.74,12.271,36.826,9.2933,10.174,6.8431,9.4379,9.0392,15.035,5.8738,8.7457,8.6733,11.488,3.2384
4.448,0.70145,3.6646,3.6134,4.7715,1.0376,7.7767,5.5059,6.2977,1.0304,6.2154,0.67047,8.9792,6.5293,6.1676,4.4793,5.4616,7.0538,8.197,1.1048
1.0479,0.65091,2.445,0.97632,4.8565,1.049,3.4647,3.1835,1.9332,0.59762,0.66447,0.68432,2.2616,1.9582,1.8053,1.382,5.0902,5.7655,1.6741,0.49582
0.25763,0.6501,1.9031,1.2171,1.2215,0.80505,3.2617,3.9092,0.34511,0.64181,0.50809,0.83139,1.3502,0.93568,1.2458,1.4591,2.0047,2.4333,0.33364,0.60167
0.20915,0.80015,0.67011,1.1771,1.5767,0.81518,1.9823,3.7578,0.2951,0.59132,0.071326,0.80991,1.3827,0.64846,0.84693,0.83704,2.9063,2.4051,0.56044,0.28071
0.11622,0.46842,0.69625,0.4093,0.53658,0.5428,2.8818,2.7192,0.65745,0.38514,0.050401,0.64303,0.6129,0.83135,0.8628,0.40443,2.0134,2.0914,0.13173,0.32691
0.11068,0.34183,0.39371,0.39389,0.4209,0.2514,1.8581,1.8669,0.43925,0.050888,0.60522,0.41734,0.37933,0.38101,0.21696,0.36523,1.8135,2.2352,0.88364,0.073052
1.8964,0.10551,0.61093,0.18824,3.3303,0.19195,2.8889,3.9951,1.1872,0.051352,2.6446,0.1444,0.2753,0.28931,0.62121,0.2008,2.3405,2.5059,1.6484,0.44956
5.327,0.96837,0.79777,0.35827,2.6296,2.8164,6.2934,10.967,11.339,0.63414,2.141,0.61508,4.3294,0.53857,2.8866,0.91408,5.8814,17.28,10.835,0.78165
19.714,7.1176,7.396,1.1418,5.3461,2.3419,4.9619,8.8304,14.557,9.7371,3.8849,9.9995,7.263,1.7569,5.5754,8.6833,4.3607,18.008,14.334,5.4458
7.9232,15.765,7.2521,3.4454,12.874,7.6847,12.624,15.097,17.425,11.174,16.882,9.2198,11.59,3.7792,13.728,9.9223,6.61,12.468,17.028,4.6579
12.212,12.151,9.8967,6.6802,8.4834,6.7055,12.87,3.9094,15.635,8.1477,10.229,9.7447,7.6595,7.3772,9.3917,11.115,7.8977,7.2569,13.535,0.95541
15.993,6.7322,6.3855,8.4093,12.212,6.9317,9.3199,5.7198,15.135,0.71901,14.743,1.5639,13.868,8.6554,9.7298,3.8639,13.388,14.989,28.357,0.56564
5.4416,0.71939,3.3183,5.302,3.7848,2.0273,3.597,7.9673,13.111,0.40763,2.1508,0.67412,3.8343,3.7074,5.1495,2.7825,6.6512,4,12.19,0.16349
0.84143,0.59692,2.4016,2.837,2.4031,1.1278,4.2946,4.8697,1.1246,0.43495,0.95046,0.34599,3.6617,2.7823,1.4636,1.7964,2.9806,3.9954,1.2103,0.30815
0.20099,0.7516,1.3001,2.1995,1.6712,0.98496,4.3806,3.0981,0.59999,0.55349,0.70708,0.69298,1.7817,2.4143,1.845,1.5907,2.329,5.1313,0.50691,0.44726
0.76996,0.79834,1.485,1.5753,2.1612,0.86472,2.5161,3.4361,0.45104,0.20502,0.095545,0.59949,1.2571,0.49072,0.95382,1.0686,1.7551,2.1402,0.37728,0.39208
0.3523,0.45105,0.78901,0.62198,0.68993,0.44749,3.5879,3.1278,0.39394,0.31728,0.10073,0.54046,0.64542,0.49446,1.2412,1.0743,2.8747,2.584,0.051475,0.31844
0.21044,0.47403,0.57462,0.63872,1.2064,0.54444,1.9281,0.28737,1.4595,0.097621,0.089739,0.38589,0.6935,0.38417,0.24671,0.32574,2.5555,0.89849,0.124,0.025678
1.2039,0.2687,2.0857,0.81251,0.37524,0.49808,2.3876,1.0864,3.4971,0.17699,0.60383,0.31413,0.24818,0.26399,0.16378,0.55264,2.8232,1.3194,2.4347,0.027754
2.6011,0.31329,2.7517,0.45036,4.6885,6.6228,5.658,4.8662,6.0773,0.35886,2.3876,0.77455,0.74331,1.1528,8.4315,3.4249,4.1808,3.6664,7.8804,0.089339
8.4559,5.4969,4.6856,3.0219,10.387,11.571,8.7905,6.0285,13.614,7.5363,13.159,10.427,3.3352,4.1981,11.592,8.878,6.4416,8.0744,13.738,1.898
11.435,13.76,9.1741,2.0216,11.427,10.776,11.58,13.178,15.352,7.9405,11.842,14.637,10.191,10.907,13.328,13.798,8.9176,16.308,17.387,1.6366
9.8231,9.9949,10.062,11.173,9.9133,21.939,9.7775,13.453,20.336,8.4569,6.3921,8.2743,11.82,13.521,14.118,14.345,10.469,16.707,21.688,2.6813
12.109,1.698,11.716,8.2284,10.418,5.8917,10.621,6.7005,20.048,0.51079,5.3771,3.3921,7.4941,7.2909,16.016,4.5961,10.003,9.6101,41.05,0.11456
6.5352,3.036,3.8976,4.4914,4.7001,1.3962,5.024,5.1413,13.794,0.19529,3.8636,0.60357,7.5388,1.5476,5.4606,3.1801,5.8187,6.9259,5.8276,0.11137
1.0258,0.54766,2.5304,1.4181,1.6828,1.4196,2.8636,3.3071,4.5431,0.31203,1.4292,0.60552,1.1245,1.0407,1.8626,1.6463,4.5185,3.1693,1.7126,0.49515
0.41479,0.69118,1.5305,1.3381,1.182,0.9211,3.4496,3.6544,0.48432,0.36591,0.18024,0.58581,1.5075,1.2623,1.1702,1.405,3.2077,5.4199,2.163,0.43871
0.16031,0.54767,1.3468,0.55143,0.80373,1.0588,2.8647,3.5042,1.3148,0.35463,0.48072,0.58175,1.0256,0.58697,0.50777,1.1278,3.3952,3.2778,1.4369,0.17422
0.12061,0.39584,1.2125,0.8994,0.74154,0.78618,2.0442,2.0896,0.89001,0.35258,0.18882,0.35603,0.60241,0.97072,0.39176,0.87036,1.3727,3.2553,0.14685,0.62396
0.22219,0.18185,0.93401,0.13716,0.40165,0.52152,0.72599,1.0362,1.8541,0.99408,0.34955,0.18354,0.45337,0.21114,0.45172,0.25134,0.80886,0.48677,3.3243,0.2246
1.165,0.2834,1.23,2.1236,1.9335,0.27685,2.741,2.3713,3.9129,1.3064,0.84698,0.23351,0.62836,0.49035,1.2625,0.36602,2.6152,2.0471,3.3148,0.081617
3.957,0.46604,4.2614,0.88527,6.1839,6.4572,4.4778,3.5102,8.9352,0.12128,2.9071,0.23734,0.22455,1.0441,3.9436,4.56,5.6985,6.2486,8.3535,1.1654
7.3298,2.6563,8.3959,2.8342,2.3251,19.191,9.9413,11.918,14.019,7.2628,3.3225,5.1989,7.9467,3.1939,14.974,4.7516,7.8604,9.3841,14.685,6.7225
14.54,7.8035,9.8782,5.1206,17.838,20.308,11.442,14.491,16.378,4.1411,7.6422,13.64,10.575,2.9025,9.6697,11.575,10.489,11.655,18.777,3.6989
8.1721,4.8814,10.852,8.8893,13.077,8.8087,10.457,14.44,19.517,3.6262,6.3453,15.838,14.259,1.8067,13.163,13.01,16.769,14.5,16.713,3.8267
16.263,3.2737,11.233,11.811,9.3313,3.4048,9.511,10.682,32.672,3.2889,7.2378,5.6333,7.978,3.9161,6.1469,5.8013,10.543,7.6502,15.431,0.47483
9.8947,0.70162,5.0966,6.9331,3.5909,1.2169,6.001,5.492,5.1039,0.31958,3.5685,0.61457,5.9235,4.7525,7.4599,1.6563,9.4193,6.4748,5.3293,0.34985
2.0334,0.54721,1.3085,3.115,2.1549,0.98521,5.0467,5.0006,2.2578,0.35478,0.35334,0.53437,2.2367,3.1794,1.5552,1.3532,3.1585,3.4894,0.89154,0.63134
