CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
6.6309,8.8248,4.9542,8.5916,18.732,4.1184,2.399,8.319,1.4405,13.643,7.9087,4.2634,7.5725,8.8386,2.7082,3.3278,8.3145,2.9267
0.81078,3.2971,2.1687,2.4204,8.4925,1.4346,1.9531,3.2502,0.6019,2.8992,1.5212,0.63646,1.6179,1.1804,1.3432,1.1861,4.8879,5.2924
0.0029274,0.27569,0.18941,1.6958,0.012316,0.88368,1.059,1.244,1.453,0.020056,0.99321,2.1218,0.34144,0.11958,1.7448,1.9808,1.4607,0.94847
0.01372,1.4402,0.063091,0.94065,0.0051743,2.0033,2.1546,0.35623,0.59244,0.00018713,0.70465,0.4101,0.22245,0.02463,0.52487,1.8339,0.9375,4.62E-18
0.00035046,0.26483,2.7781,0.30941,0.17478,2.2108,2.5411,1.6138,1.0348,0.0025078,1.8572,2.3094,0.95645,0.63529,1.8499,2.3471,2.1587,0.25664
1.4853,3.3365,1.8204,1.9608,0.94403,1.4922,1.792,5.6856,1.277,2.0039,1.2608,0.76184,0.84863,2.0285,1.4857,1.8379,4.5647,0.36735
7.4576,3.3571,1.7258,2.3947,3.9101,1.3156,3.582,4.7733,4.5504,3.2834,2.6587,4.7764,2.2632,2.9108,1.7173,2.1041,5.4872,1.0061
9.4188,3.588,3.0449,3.5877,3.7515,2.4235,3.6389,6.0437,2.5076,16.455,3.8745,4.0782,2.9913,7.727,3.3001,3.5983,6.1995,2.0391
11.117,8.4506,6.4454,3.5151,19.571,4.1871,7.6818,7.4713,5.0137,18.116,3.2453,6.0315,2.769,7.2973,4.1443,3.5836,9.2331,3.2105
11.46,6.978,7.9531,9.4079,11.089,5.7548,9.7925,10.052,2.7787,8.0319,7.4448,7.8422,6.5501,8.5274,5.9671,9.2328,11.274,2.3296
9.596,9.2197,10.438,8.0597,12.892,9.9908,9.4793,8.8855,4.3017,9.9608,8.8899,8.1656,10.914,10.922,13.337,10.578,13.857,1.4181
9.1459,8.3881,11.699,6.2108,4.7828,7.3586,9.3434,7.8753,1.8377,10.21,8.908,10.488,9.1742,8.0604,10.597,7.8438,11.232,0.57292
9.8008,6.4853,6.4847,7.9473,2.366,3.5928,2.9946,6.6797,2.6137,5.0298,6.0527,7.9186,8.3887,7.7479,3.4261,2.6073,9.3085,0.99565
3.0727,3.2796,0.85856,1.6687,1.1371,1.1269,1.1037,3.2837,1.6722,4.1272,1.281,0.9048,3.6219,3.7668,1.5385,2.1239,4.3165,2.2848
0.10619,0.96244,0.14794,0.93802,0.047798,1.2796,1.1211,0.41034,4.33E-18,0.070137,0.18631,0.92523,0.23345,6.34E-06,0.92478,1.1934,1.6834,0.006834
