BCC-CSM2_370,CanESM5-CanOE_370,CNRM-CM6-1_370,CNRM-CM6-1-HR_370,CNRM-ESM2-1_370,GFDL-ESM4_370,INM-CM4-8_370,INM-CM5-0_370,IPSL-CM6A-LR_370,MRI-ESM2-0_370,BCC-CSM2_585,CanESM5-CanOE_585,CNRM-CM6-1_585,CNRM-CM6-1-HR_585,CNRM-ESM2-1_585,GFDL-ESM4_585,INM-CM4-8_585,INM-CM5-0_585,IPSL-CM6A-LR_585,MRI-ESM2-0_585
0.88833,0.021325,0.24478,0.65652,0.35612,1.601,1.0641,0.13672,0.065703,0.52183,0.68344,0.24624,2.2941,1.4664,0.89099,0.82601,0.80488,0.0064384,0.024619,0.28257
0.88022,0.42985,0.12207,0.059067,1.4103,0.33662,0.0060442,0.020003,0.0047838,0.83687,0.55292,0.37835,0.085944,0.28631,1.1166,0.39039,0.02402,0.10464,0.23109,0.7722
3.3626,0.014583,0.076698,0.24821,0.020173,0.044177,0.14445,0.054122,9.70E-06,0.63809,1.5728,0.47556,0.24977,0.093236,1.107,0.10861,0.0053069,0.048625,0.024946,0.59028
2.1837,0.086904,2.4884,0.27726,1.6641,1.451,0.097,1.9055,0.461,0.35142,1.274,0.10346,1.4249,0.39467,2.0476,0.08785,0.43941,0.11694,1.2775,0.31692
3.8808,0.098715,3.9384,3.1755,3.2731,2.2169,0.92564,0.53778,1.8554,1.7465,2.0283,1.3827,4.9197,0.66392,3.9108,0.7852,1.3412,1.4719,0.18772,2.1595
4.6142,3.7992,5.1962,2.49,4.1017,4.2499,0.97043,1.4652,3.0654,1.5602,3.0558,4.5065,7.6021,1.3878,4.7638,4.0595,0.77423,2.3191,1.9429,1.0546
1.7171,5.7721,3.8881,3.3537,9.0547,8.8521,2.1797,8.9235,4.6084,2.0349,3.4895,6.8342,4.8482,1.6253,9.9061,3.2158,3.1872,2.1388,4.9894,2.5978
4.6369,4.1965,5.646,7.7651,7.367,5.4656,3.4922,4.1383,5.5877,2.2148,4.7046,4.3471,3.4861,6.0975,2.8744,4.7534,3.6473,4.3963,5.8308,4.0631
6.4381,13.329,1.9659,7.9375,3.5688,9.273,2.5535,4.5731,6.2637,2.5873,9.8617,13.285,2.5678,3.5492,3.6053,6.1352,3.5233,4.5246,7.5081,6.2408
3.2622,5.5198,3.1748,5.4175,4.7319,4.2379,1.2525,2.278,6.4135,2.7731,1.201,2.9697,4.1212,7.6464,3.342,4.5084,1.6961,5.0695,3.511,1.6495
